name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Glairon Mondet Guillaume,FRA,1,4t5 5b6,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,1,1,1,1,X,1,2,2
Chon Jongwon,KOR,2,4t5 5b7,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,2,2,1,1,X,2,1,1
Sharafutdinov Dmitrii,RUS,3,4t6 5b7,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,1,1,X,3,3,1,1,1
Hori Tsukuru,JPN,4,4t6 5b10,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,2,1,1,1,2,2,X,5,1,1
Park Jihwan,KOR,5,4t8 5b10,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,2,2,3,3,1,1,X,2,2,2
Mecherzynski-Wiktor Andrzej,POL,6,3t3 5b5,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,1,1,X,1,X,1,1,1
Higuchi Masahiro,JPN,7,3t3 4b11,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,1,1,X,X,X,8,1,1
Rubtsov  Aleksei,RUS,8,3t4 4b4,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,2,1,1,1,X,X,X,1,1,1
McColl Sean,CAN,9,3t4 4b5,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,2,2,X,1,X,X,1,1
Lee Donggun,KOR,10,3t5 5b12,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Men,Qualification,2014-06-20,/api/v1/category_rounds/3039/results,/api/v1/events/855/result/3,1,1,3,2,X,1,X,7,1,1
