name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1
Narasaki Tomoa,JPN,1,141.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,1,1,2,1,1,1,1,1,28
Ogata Yoshiyuki,JPN,2,132.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,5,4,X,1,2,2,2,1,30
Homma Taisei,JPN,3,128.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,3,1,3,3,1,1,X,X,32
Bailey Sean,USA,4,117.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,7,6,1,1,X,X,35+
Flohé Yannick,GER,5,115.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,2,1,11,11,2,2,X,X,28+
Fujii Kokoro,JPN,6,115.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,3,3,2,2,3,2,26+
Kawamata Rei,JPN,7,113.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,7,8,3,1,1,8,6,24+
Jenft Paul,FRA,8,112.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,2,1,X,4,3,2,5,5,23
Higuchi Masahiro,JPN,9,103.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,7,X,12,4,2,4,4,26+
Duffy Colin,USA,10,102.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,4,X,4,2,1,4,4,25+
Schalck Mejdi,FRA,11,100.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,6,6,1,1,X,5,26+
YURIKUSA Ao,JPN,12,98.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,12,3,1,6,6,26
Roberts Toby,GBR,13,92.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,6,6,X,5,1,1,X,X,25+
Lehmann Sascha,SUI,14,90.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,1,1,1,X,X,31+
YOSHIDA Satone,JPN,15,80.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,6,3,1,X,X,28+
Grupper Jesse,USA,16,78.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,X,X,1,X,X,35+
Collin Nicolas,BEL,17,75.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,6,1,1,X,X,26+
Puman Hannes,SWE,18,71.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,6,2,2,X,X,25
Van Duysen Hannes,BEL,19,62.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,X,X,X,1,1,X,X,23
YUN Shinyeong,KOR,20,38.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Semi-final,2022-10-20,/api/v1/category_rounds/7817/results,/api/v1/events/1234/result/617,X,8,X,9,X,2,X,X,14+
